port_name,port_id,port_lat,port_lon,port_iso3,continent,betweenness_centrality,k_core,hub_score,authority_score,pagerank_score,import_cluster,export_cluster,import_cluster_rolebased,export_cluster_rolebased
Skelleftehamn_Sweden,port1205,64.67469282678354,21.26605931682046,SWE,EURO,7.447404741795977e-05,101,0.00040931333154969993,0.0004926856756959414,0.0005768807425185063,4,3,5,4
Skhira_Tunisia,port1206,34.337342263532925,10.14458149659702,TUN,AFRI,2.4319085413135097e-05,78,0.000395619064698672,0.0004191729518177037,0.0003748587641149467,0,1,4,1
Skutskar_Sweden,port1207,60.64852582410221,17.397377868758287,SWE,EURO,6.600929755735311e-06,59,0.00020010257402255542,0.0002493254247625717,0.0003137048716683281,4,3,5,4
Slagenstangen_Norway,port1208,59.31819836365456,10.514380977912042,NOR,EURO,0.0002473238528285072,103,0.000599476502214795,0.0005935557843644007,0.0006236397035302652,4,3,5,4
Sodertalje_Sweden,port1209,59.240290184233416,17.619191138779474,SWE,EURO,6.721599449833318e-05,104,0.0005282728416298604,0.0006077645941393419,0.0006941788741082842,4,3,5,4
Solvesborg_Sweden,port1210,56.03921167004422,14.579450217845784,SWE,EURO,4.7052123353778644e-05,104,0.00047260405713459215,0.0005296330269344171,0.0006038100982034893,4,3,5,4
Songkhla Harbor_Thailand,port1211,7.228638224011132,100.5712732732041,THA,ASIA,4.433396530716592e-05,42,0.00023678004173620628,0.00022820002572559257,0.0002646653376501344,3,0,1,0
Soudha_Greece,port1212,35.5125421030583,24.067444738396144,GRC,EURO,9.472543336131988e-06,43,0.00016840133542601882,0.0001690260923316567,0.00028532779043360967,0,1,4,1
Sousse_Tunisia,port1213,35.824512813305994,10.64508158450096,TUN,AFRI,0.00017508329569985252,112,0.0007301967679852663,0.0007609937565848981,0.0007532745170934267,0,1,4,1
South Louisiana_U.S.A.,port1214,30.1237952598628,-90.8678107244268,USA,NOAM,0.0051554713949219485,119,0.0024786007780232032,0.0017448162458545153,0.0017141551983650839,1,4,2,2
