port_name,country,continent,area,silo_name,silo_id,silo_lon,silo_lat
Nagoya Ko,Japan,Asia,43372.86120096022,Nagoya Ko_Silo_8,silo_660,136.88646124219437,35.063404206134244
Kinuura Ko,Japan,Asia,229779.2720732402,Kinuura Ko_Silo_1,silo_661,136.92801670479443,34.84447247738827
Kinuura Ko,Japan,Asia,72281.50041846152,Kinuura Ko_Silo_2,silo_662,136.96281089715137,34.86376414785568
Kinuura Ko,Japan,Asia,50668.09491116026,Kinuura Ko_Silo_3,silo_663,136.96454118554098,34.86628564508709
Kinuura Ko,Japan,Asia,5682.997433327554,Kinuura Ko_Silo_4,silo_664,136.97164083860176,34.87703748520833
Kinuura Ko,Japan,Asia,6376.129947022579,Kinuura Ko_Silo_5,silo_665,136.97991219983408,34.90499636046734
Kinuura Ko,Japan,Asia,28023.407718670485,Kinuura Ko_Silo_6,silo_666,136.9785949636988,34.91031516975322
Mikawa,Japan,Asia,34905.25468421493,Mikawa_Silo_1,silo_667,137.32234396989355,34.73368734036214
Shimizu Ko,Japan,Asia,159113.6258851544,Shimizu Ko_Silo_1,silo_668,138.49786270916553,34.99410207199225
Shimizu Ko,Japan,Asia,32772.58718235403,Shimizu Ko_Silo_2,silo_669,138.4953538593559,35.01382369682193
Tagonoura Ko,Japan,Asia,52867.19181531064,Tagonoura Ko_Silo_1,silo_670,138.69292600767997,35.1445809710083
Yokohama Ko,Japan,Asia,42511.58846015534,Yokohama Ko_Silo_1,silo_671,139.68436404756156,35.427328058109225
Yokohama Ko,Japan,Asia,33893.42682253898,Yokohama Ko_Silo_2,silo_672,139.62882149508397,35.407030908320344
Yokohama Ko,Japan,Asia,25743.629763184632,Yokohama Ko_Silo_3,silo_673,139.6228446217106,35.39772127000338
Yokohama Ko,Japan,Asia,57975.552861104436,Yokohama Ko_Silo_4,silo_674,139.66966592018994,35.468925605381614
Yokohama Ko,Japan,Asia,24028.5238167496,Yokohama Ko_Silo_5,silo_675,139.65097372985852,35.473438273700516
